Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sierra Leone,SLE,..,72.9484145625317,121.185120838991,109.724498013891,112.706165254803,81.6262586200074,83.3530765872509,83.324028814566,81.6658188535583,78.0029639493207,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Singapore,SGP,..,700.664153446937,1068.65456005868,1178.54706243875,1259.19912655921,1300.83439870464,1156.45483322558,1250.39366306402,1350.14388273967,1429.32507162402,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Slovak Republic,SVK,..,65,360,375,378,381,396,444,440,518,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Slovenia,SVN,..,187,341,336,345,368,388,419,482,537,557,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Solomon Islands,SLB,..,3.38540181925861,3.48575280285029,3.38681524720791,3.4601154735038,3.44000196760885,3.76488369358723,4.34284715941234,4.36888862676613,4.44791317815891,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,South Africa,ZAF,..,86.5149560791712,60.4372214873632,62.7414750923685,64.0221824470281,64.9304533701003,67.617624773262,68.1779537890927,62.433086670588,66.6255163627726,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,South Sudan,SSD,..,..,..,..,..,16.5911121939582,14.4168669596878,21.7467904597341,19.8802607724943,9.25519812417762,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Spain,ESP,..,357.88498045139,704.466355456254,710.17720328758,733.675427773986,788.093588013558,817.296482692887,864.36303186778,805.812993407878,917.049351249173,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Sri Lanka,LKA,..,71,193,216,234,222,241,254,245,266,..,..
